2024-04-08 10:01:10.523715 connection.mysql_connection [INFO] =================================================
2024-04-08 10:01:10.525421 connection.mysql_connection [INFO] our db_config:
2024-04-08 10:01:10.526928 connection.mysql_connection [INFO] host: 20.205.24.18
2024-04-08 10:01:10.528208 connection.mysql_connection [INFO] port: 3306
2024-04-08 10:01:10.529139 connection.mysql_connection [INFO] user: eco
2024-04-08 10:01:10.529994 connection.mysql_connection [INFO] password: ECO4ever
2024-04-08 10:01:10.530994 connection.mysql_connection [INFO] autocommit: True
2024-04-08 10:01:10.531781 connection.mysql_connection [INFO] dictionary mode: False
2024-04-08 10:01:10.538934 connection.mysql_connection [INFO] =================================================
2024-04-08 10:01:11.549103 root [DEBUG] 6.06E-1 kgCO₂e
2024-04-08 10:02:00.661236 connection.mysql_connection [INFO] =================================================
2024-04-08 10:02:00.664055 connection.mysql_connection [INFO] our db_config:
2024-04-08 10:02:00.665800 connection.mysql_connection [INFO] host: 20.205.24.18
2024-04-08 10:02:00.667668 connection.mysql_connection [INFO] port: 3306
2024-04-08 10:02:00.668760 connection.mysql_connection [INFO] user: eco
2024-04-08 10:02:00.669977 connection.mysql_connection [INFO] password: ECO4ever
2024-04-08 10:02:00.671002 connection.mysql_connection [INFO] autocommit: True
2024-04-08 10:02:00.671704 connection.mysql_connection [INFO] dictionary mode: False
2024-04-08 10:02:00.672498 connection.mysql_connection [INFO] =================================================
2024-04-08 10:02:03.065738 root [DEBUG] 6.06E-1 kgCO₂e
2024-04-08 10:02:03.067516 root [DEBUG] ['6.06E-1', 'kgCO₂e']
2024-04-08 10:02:21.979699 connection.mysql_connection [INFO] =================================================
2024-04-08 10:02:21.981351 connection.mysql_connection [INFO] our db_config:
2024-04-08 10:02:21.982993 connection.mysql_connection [INFO] host: 20.205.24.18
2024-04-08 10:02:21.984806 connection.mysql_connection [INFO] port: 3306
2024-04-08 10:02:21.986631 connection.mysql_connection [INFO] user: eco
2024-04-08 10:02:21.987993 connection.mysql_connection [INFO] password: ECO4ever
2024-04-08 10:02:21.989607 connection.mysql_connection [INFO] autocommit: True
