2024-04-16 11:10:43.739983 connection.mysql_connection [INFO] =================================================
2024-04-16 11:10:43.741383 connection.mysql_connection [INFO] our db_config:
2024-04-16 11:10:43.742272 connection.mysql_connection [INFO] host: 20.205.24.18
2024-04-16 11:10:43.743048 connection.mysql_connection [INFO] port: 3306
2024-04-16 11:10:43.743959 connection.mysql_connection [INFO] user: eco
2024-04-16 11:10:43.744856 connection.mysql_connection [INFO] password: ECO4ever
2024-04-16 11:10:43.745780 connection.mysql_connection [INFO] autocommit: True
2024-04-16 11:10:43.746561 connection.mysql_connection [INFO] dictionary mode: False
2024-04-16 11:10:43.748842 connection.mysql_connection [INFO] =================================================
2024-04-16 11:10:45.200758 root [DEBUG] REPLACE INTO mgmtCarbon.EF2(EFId, name, type, CO2, CH4, N2O, unit, year, urlName, sheetName, CO2Unit, CH4Unit, N2OUnit, sourceId, everTable, everId) VALUES ('GHG00001', 'Orimulsion', 'Gas basis', NULL, NULL, NULL, 'm3', 2017, 'GHG EF from Cross-Sector Tools', 'Sheet Name : Stationary combustion', 'kgCO₂', 'kgCH₄', 'kgN₂O', 4, 'GHG_rawData', '1, 55, 109')
2024-04-16 11:10:45.328414 root [DEBUG] REPLACE INTO mgmtCarbon.EF2(EFId, name, type, CO2, CH4, N2O, unit, year, urlName, sheetName, CO2Unit, CH4Unit, N2OUnit, sourceId, everTable, everId) VALUES ('GHG00002', 'Orimulsion', 'Energy Basis', '77000', '10', '0.6', 'TJ', 2017, 'GHG EF from Cross-Sector Tools', 'Sheet Name : Stationary combustion', 'kgCO₂', 'kgCH₄', 'kgN₂O', 4, 'GHG_rawData', '1, 55, 109')
2024-04-16 11:10:45.446951 root [DEBUG] REPLACE INTO mgmtCarbon.EF2(EFId, name, type, CO2, CH4, N2O, unit, year, urlName, sheetName, CO2Unit, CH4Unit, N2OUnit, sourceId, everTable, everId) VALUES ('GHG00003', 'Orimulsion', 'Mass basis', '2117.5', '0.275', '0.0165', 'tonne', 2017, 'GHG EF from Cross-Sector Tools', 'Sheet Name : Stationary combustion', 'kgCO₂', 'kgCH₄', 'kgN₂O', 4, 'GHG_rawData', '1, 55, 109')
2024-04-16 11:10:45.572029 root [DEBUG] REPLACE INTO mgmtCarbon.EF2(EFId, name, type, CO2, CH4, N2O, unit, year, urlName, sheetName, CO2Unit, CH4Unit, N2OUnit, sourceId, everTable, everId) VALUES ('GHG00004', 'Orimulsion', 'Liquid Basis', NULL, NULL, NULL, 'Liter', 2017, 'GHG EF from Cross-Sector Tools', 'Sheet Name : Stationary combustion', 'kgCO₂', 'kgCH₄', 'kgN₂O', 4, 'GHG_rawData', '1, 55, 109')
2024-04-16 11:10:45.711187 root [DEBUG] REPLACE INTO mgmtCarbon.EF2(EFId, name, type, CO2, CH4, N2O, unit, year, urlName, sheetName, CO2Unit, CH4Unit, N2OUnit, sourceId, everTable, everId) VALUES ('GHG00005', 'Orimulsion', 'Fuel density information Of gases', NULL, NULL, NULL, 'm3', 2017, 'GHG EF from Cross-Sector Tools', 'Sheet Name : Stationary combustion', 'kgCO₂', 'kgCH₄', 'kgN₂O', 4, 'GHG_rawData', '1, 55, 109')
2024-04-16 11:10:45.839603 root [DEBUG] REPLACE INTO mgmtCarbon.EF2(EFId, name, type, CO2, CH4, N2O, unit, year, urlName, sheetName, CO2Unit, CH4Unit, N2OUnit, sourceId, everTable, everId) VALUES ('GHG00006', 'Orimulsion', 'Liquid Basis', NULL, NULL, NULL, 'liter2', 2017, 'GHG EF from Cross-Sector Tools', 'Sheet Name : Stationary combustion', 'kgCO₂', 'kgCH₄', 'kgN₂O', 4, 'GHG_rawData', '1, 55, 109')
2024-04-16 11:10:45.976085 root [DEBUG] REPLACE INTO mgmtCarbon.EF2(EFId, name, type, CO2, CH4, N2O, unit, year, urlName, sheetName, CO2Unit, CH4Unit, N2OUnit, sourceId, everTable, everId) VALUES ('GHG00007', 'Natural Gas Liquids', 'Gas basis', NULL, NULL, NULL, 'm3', 2017, 'GHG EF from Cross-Sector Tools', 'Sheet Name : Stationary combustion', 'kgCO₂', 'kgCH₄', 'kgN₂O', 4, 'GHG_rawData', '2, 56, 110')
2024-04-16 11:10:46.096722 root [DEBUG] REPLACE INTO mgmtCarbon.EF2(EFId, name, type, CO2, CH4, N2O, unit, year, urlName, sheetName, CO2Unit, CH4Unit, N2OUnit, sourceId, everTable, everId) VALUES ('GHG00008', 'Natural Gas Liquids', 'Energy Basis', '64200', '10', '0.6', 'TJ', 2017, 'GHG EF from Cross-Sector Tools', 'Sheet Name : Stationary combustion', 'kgCO₂', 'kgCH₄', 'kgN₂O', 4, 'GHG_rawData', '2, 56, 110')
2024-04-16 11:10:46.220946 root [DEBUG] REPLACE INTO mgmtCarbon.EF2(EFId, name, type, CO2, CH4, N2O, unit, year, urlName, sheetName, CO2Unit, CH4Unit, N2OUnit, sourceId, everTable, everId) VALUES ('GHG00009', 'Natural Gas Liquids', 'Mass basis', '2837.64', '0.442', '0.02652', 'tonne', 2017, 'GHG EF from Cross-Sector Tools', 'Sheet Name : Stationary combustion', 'kgCO₂', 'kgCH₄', 'kgN₂O', 4, 'GHG_rawData', '2, 56, 110')
2024-04-16 11:10:46.368284 root [DEBUG] REPLACE INTO mgmtCarbon.EF2(EFId, name, type, CO2, CH4, N2O, unit, year, urlName, sheetName, CO2Unit, CH4Unit, N2OUnit, sourceId, everTable, everId) VALUES ('GHG00010', 'Natural Gas Liquids', 'Liquid Basis', NULL, NULL, NULL, 'Liter', 2017, 'GHG EF from Cross-Sector Tools', 'Sheet Name : Stationary combustion', 'kgCO₂', 'kgCH₄', 'kgN₂O', 4, 'GHG_rawData', '2, 56, 110')
2024-04-16 11:10:46.529378 root [DEBUG] REPLACE INTO mgmtCarbon.EF2(EFId, name, type, CO2, CH4, N2O, unit, year, urlName, sheetName, CO2Unit, CH4Unit, N2OUnit, sourceId, everTable, everId) VALUES ('GHG00011', 'Natural Gas Liquids', 'Fuel density information Of gases', NULL, NULL, NULL, 'm3', 2017, 'GHG EF from Cross-Sector Tools', 'Sheet Name : Stationary combustion', 'kgCO₂', 'kgCH₄', 'kgN₂O', 4, 'GHG_rawData', '2, 56, 110')
